State;Education;Certification;Partitipation;Subdiscipline;Sector;Salary
Virginia;Bachelors Degree;EIT;Full Time;Building envelope ;Private;68000
Wyoming;Bachelors Degree;PE;Full Time;Structural;Private;100000
New York;Masters Degree;PE;Full Time;Bridges;Private;105000
Colorado;Bachelors Degree;PE;Full Time;Water Resources;Private;109000
Kentucky;Masters Degree;PE;Full Time;Transportation;Public;76000
South Carolina;Bachelors Degree;EIT;Full Time;Transportation;Private;75600
Arizona;Bachelors Degree;PE;Full Time;Transportation;Public;113500
North Carolina;Bachelors Degree;PE;Full Time;Transportation;Private;105000
Louisiana;Bachelors Degree;PE;Full Time;Construction/Field;Private;130000
Florida;Currently In College;None;Part Time;Geotechnical;Public;0
Kentucky;Masters Degree;PE;Full Time;Bridges;Private;117500
Texas;Bachelors Degree;PE;Full Time;Transportation;Private;185000
Texas;Bachelors Degree;PE;Full Time;Transportation;Private;99500
Florida;Masters Degree;PE;Full Time;Structural;Private;130000
Kentucky;Bachelors Degree;EIT;Full Time;Transportation;Private;72800
Alabama;Bachelors Degree;EIT;Full Time;Geotechnical;Private;85000
Missouri;Bachelors Degree;EIT;Full Time;Land Development;Private;67000
Texas;Bachelors Degree;EIT;Full Time;Land Development;Private;75000
California;Bachelors Degree;EIT;Full Time;Water Resources;Public;124937
Florida;Bachelors Degree;PE;Full Time;Land Development;Private;88000
South Carolina;Bachelors Degree;PE;Full Time;Transportation;Private;90000
California;Bachelors Degree;PE;Full Time;Government/Municipal;Public;167000
Oregon;Bachelors Degree;EIT;Full Time;Bridges;Private;82000
Montana;Bachelors Degree;EIT;Full Time;Construction/Field;Private;65000
Nevada;Bachelors Degree;PE;Full Time;Land Development;Private;100000
Minnesota;Bachelors Degree;PE;Full Time;Government/Municipal;Public;105000
California;Bachelors Degree;EIT;Full Time;Water Resources;Private;88650
New York;Bachelors Degree;PE;Full Time;Government/Municipal;Private;114500
Connecticut;Bachelors Degree;PE;Full Time;Bridges;Private;98500
Massachusetts;Masters Degree;PE;Full Time;Environmental;Private;109000
California;Bachelors Degree;PE;Full Time;Water Resources;Private;110000
Oklahoma;Bachelors Degree;PE;Full Time;Transportation;Private;112360
North Carolina;Bachelors Degree;EIT;Full Time;Structural;Private;70000
Texas;Masters Degree;PE;Full Time;Land Development;Public;95000
Texas;Bachelors Degree;PE;Full Time;Water Resources;Private;92000
Michigan;Bachelors Degree;EIT;Full Time;Geotechnical;Private;70000
Indiana;Bachelors Degree;None;Full Time;Water Resources;Private;78300
Florida;Masters Degree;EIT;Full Time;Water Resources;Private;85000
Pennsylvania;Bachelors Degree;PE;Full Time;Transportation;Private;105000
Massachusetts;Masters Degree;PE;Full Time;Bridges;Private;140000
California;Bachelors Degree;EIT;Full Time;Transportation;Public;104000
Illinois;Masters Degree;EIT;Full Time;Water Resources;Public;83000
Ohio;Bachelors Degree;PE;Full Time;Construction/Field;Private;80000
California;Bachelors Degree;PE;Full Time;Construction/Field;Public;128010
New York;Bachelors Degree;EIT;Full Time;Land Development;Private;62400
Tennessee;Bachelors Degree;EIT;Full Time;Transportation;Private;71000
New Hampshire;Masters Degree;PE;Full Time;Bridges;Private;76000
California;Bachelors Degree;None;Full Time;Oil & Gas;Private;102000
New York;Masters Degree;PE;Full Time;Structural;Private;95000
Illinois;Bachelors Degree;EIT;Full Time;Transportation;Private;78000
North Carolina;Masters Degree;PE;Full Time;Structural;Private;106000
California;Bachelors Degree;PE;Full Time;Bridges;Public;83200
