State;Education;Certification;Partitipation;Subdiscipline;Sector;Salary
Arizona;Bachelors Degree;None;Full Time;Power/Electrical;Private;77000
Nevada;Bachelors Degree;PE;Full Time;Geotechnical;Private;139000
New Jersey;Bachelors Degree;PE;Full Time;Water Resources;Public;102000
Texas;Bachelors Degree;EIT;Full Time;Power/Electrical;Private;88000
Ohio;Bachelors Degree;PE;Full Time;Power/Electrical;Private;105000
Idaho;Masters Degree;PE;Full Time;Transportation;Private;116100
Georgia;Masters Degree;PE;Full Time;Power/Electrical;Private;130000
Minnesota;Bachelors Degree;EIT;Full Time;Water Resources;Private;74000
California;Masters Degree;EIT;Full Time;Structural;Public;78000
Florida;Masters Degree;EIT;Full Time;Government/Municipal;Public;72500
Massachusetts;Bachelors Degree;PE;Full Time;Structural;Private;145000
Missouri;Bachelors Degree;EIT;Full Time;Transportation;Private;66000
Texas;Bachelors Degree;PE;Full Time;Government/Municipal;Private;95000
Illinois;Bachelors Degree;EIT;Full Time;Bridges;Private;72000
Georgia;Masters Degree;PE;Full Time;Ports/Marine;Private;132000
Massachusetts;Bachelors Degree;None;Full Time;Transportation;Private;82500
North Dakota;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;76000
Louisiana;Masters Degree;PE;Full Time;Water Resources;Private;85000
Colorado;Bachelors Degree;EIT;Full Time;Transportation;Private;91000
California;Bachelors Degree;PE;Full Time;Land Development;Private;150000
North Carolina;Bachelors Degree;PE;Full Time;Structural;Private;127500
Ohio;Bachelors Degree;PE;Full Time;Rail;Private;110000
Oregon;Bachelors Degree;PE;Full Time;Land Development;Private;89430
California;Bachelors Degree;EIT;Full Time;Transportation;Private;85000
Tennessee;Masters Degree;None;Full Time;Water Resources;Private;90000
Washington;Masters Degree;PE;Full Time;Structural;Private;167000
Minnesota;Bachelors Degree;PE;Full Time;Transportation;Private;155000
New York;Masters Degree;PE;Full Time;Structural;Private;105000
Missouri;Bachelors Degree;PE;Full Time;Structural;Private;92000
New Jersey;Bachelors Degree;PE;Full Time;Water Resources;Private;92000
Missouri;Bachelors Degree;PE;Full Time;Power/Electrical;Private;120000
Tennessee;Bachelors Degree;PE;Full Time;Land Development;Private;92000
Illinois;Bachelors Degree;PE;Full Time;Construction/Field;Private;157000
Georgia;Bachelors Degree;EIT;Full Time;Architectural Consulting ;Private;105000
Georgia;Bachelors Degree;PE;Full Time;Transportation;Private;82000
Oregon;Bachelors Degree;EIT;Full Time;Transportation;Private;86000
Kentucky;Bachelors Degree;PE;Full Time;Land Development;Private;160000
Maine;Masters Degree;EIT;Full Time;Geotechnical;Private;70000
California;Doctorate Degree;PE;Full Time;Geotechnical;Private;92000
Florida;Bachelors Degree;EIT;Full Time;Land Development;Private;67500
Florida;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;105000
New York;Bachelors Degree;None;Full Time;Land Development;Private;108000
California;Masters Degree;PE;Full Time;Government/Municipal;Public;165000
Connecticut;Bachelors Degree;EIT;Full Time;Land Development;Private;85000
North Carolina;Masters Degree;PE;Full Time;Bridges;Public;187000
Washington;Bachelors Degree;EIT;Full Time;Transportation;Private;84105
Minnesota;Bachelors Degree;PE;Full Time;Water Resources;Private;89000
Colorado;Bachelors Degree;PE;Full Time;Transportation;Public;128000
North Carolina;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;80000
California;Bachelors Degree;PE;Full Time;Transportation;Private;195000
Oklahoma;Bachelors Degree;PE;Full Time;Water Resources;Private;106000
North Carolina;Bachelors Degree;PE;Full Time;Water Resources;Private;115000
Texas;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;75000
Utah;Masters Degree;PE;Full Time;Environmental;Public;110000
New York;Bachelors Degree;EIT;Full Time;Power/Electrical;Private;74000
California;Bachelors Degree;EIT;Full Time;Geotechnical;Private;75000
Minnesota;Bachelors Degree;PE;Full Time;Transportation;Public;100000
California;Bachelors Degree;PE;Full Time;Land Development;Private;150000
Washington;Bachelors Degree;PE;Full Time;Land Development;Private;93000
Florida;Bachelors Degree;EIT;Full Time;Water Resources;Private;77000
Oregon;Masters Degree;PE;Full Time;Environmental;Private;118000
California;Masters Degree;PE;Full Time;Structural;Private;110000
Pennsylvania;Masters Degree;PE;Full Time;Structural;Private;100000
California;Bachelors Degree;PE;Full Time;Structural;Private;116000
Pennsylvania;Masters Degree;EIT;Full Time;Structural;Private;82500
Minnesota;Bachelors Degree;EIT;Full Time;Land Development;Private;75000
Tennessee;Bachelors Degree;EIT;Full Time;Water Resources;Private;65000
Alabama;Bachelors Degree;EIT;Full Time;Structural;Private;75000
New York;Bachelors Degree;None;Full Time;Construction/Field;Public;108000
Texas;Masters Degree;PE;Full Time;Structural;Private;94000
Texas;Bachelors Degree;EIT;Full Time;Structural;Private;75000
Pennsylvania;Masters Degree;PE;Full Time;Pavements;Private;120000
Michigan;Bachelors Degree;EIT;Full Time;Construction/Field;Private;85000
Virginia;Bachelors Degree;EIT;Full Time;Land Development;Private;81000
Illinois;Bachelors Degree;PE;Full Time;Water Resources;Private;105000
Wisconsin;Masters Degree;PE;Full Time;Government/Municipal;Private;62000
New Jersey;Bachelors Degree;EIT;Full Time;Water Resources;Private;115000
Wisconsin;Masters Degree;PE;Full Time;Structural;Private;91000
Georgia;Doctorate Degree;EIT;Full Time;Structural;Private;113000
Illinois;Bachelors Degree;PE;Full Time;Construction/Field;Private;76000
Texas;Bachelors Degree;PE;Full Time;Water Resources;Private;92000
Kansas;Bachelors Degree;EIT;Full Time;Structural;Private;95578
Minnesota;Bachelors Degree;PE;Full Time;Government/Municipal;Public;132000
Michigan;Bachelors Degree;PE;Full Time;Land Development;Private;107000
Texas;Bachelors Degree;EIT;Full Time;Water Resources;Private;105000
Alabama;Masters Degree;PE;Full Time;Transportation;Public;112000
North Carolina;Associates;None;Full Time;Water Resources;Public;91000
Ohio;Bachelors Degree;EIT;Full Time;Power/Electrical;Public;54000
Minnesota;Masters Degree;EIT;Full Time;Airport;Private;81600
Oregon;Bachelors Degree;EIT;Full Time;Transportation;Private;82500
Texas;Bachelors Degree;PE;Full Time;Government/Municipal;Public;115000
New York;Masters Degree;PE;Full Time;Structural;Private;120000
Georgia;Bachelors Degree;EIT;Full Time;Transportation;Private;68000
Georgia;Masters Degree;PE;Full Time;Structural;Private;118000
Iowa;Bachelors Degree;PE;Full Time;Land Development;Private;87000
Indiana;Bachelors Degree;PE;Full Time;Transportation;Public;72000
Texas;Bachelors Degree;EIT;Full Time;Transportation;Private;84000
California;Bachelors Degree;EIT;Full Time;Power/Electrical;Private;130000
Illinois;Bachelors Degree;EIT;Full Time;Transportation;Private;67500
Texas;Bachelors Degree;EIT;Full Time;Land Development;Private;83500
Nebraska;Bachelors Degree;PE;Full Time;Power/Electrical;Public;120000
California;Bachelors Degree;EIT;Full Time;Water Resources;Public;97000
Colorado;Masters Degree;EIT;Full Time;Structural;Private;65000
Florida;Bachelors Degree;EIT;Full Time;Land Development;Private;90000
Illinois;Masters Degree;PE;Full Time;Water Resources;Public;146000
Illinois;Masters Degree;PE;Full Time;Construction Tech;Private;120000
Michigan;Masters Degree;EIT;Full Time;Water Resources;Public;91000
Illinois;Masters Degree;PE;Full Time;Bridges;Private;105000
Idaho;Bachelors Degree;PE;Full Time;Land Development;Private;86000
Washington;Masters Degree;PE;Full Time;Water Resources;Private;120000
California;Masters Degree;PE;Full Time;Government/Municipal;Public;130000
California;Bachelors Degree;EIT;Full Time;Transportation;Private;73500
New Jersey;Bachelors Degree;None;Full Time;Construction/Field;Private;88000
Florida;Bachelors Degree;EIT;Full Time;Land Development;Private;60000
California;Bachelors Degree;EIT;Full Time;Transportation;Private;76960
California;Bachelors Degree;PE;Full Time;Structural;Private;120000
California;Bachelors Degree;EIT;Full Time;Water Resources;Public;128000
Wisconsin;Bachelors Degree;None;Full Time;Transportation;Public;74000
Texas;Bachelors Degree;EIT;Full Time;Structural;Private;70000
Michigan;Bachelors Degree;PE;Full Time;Government/Municipal;Public;105000
New York;Bachelors Degree;PE;Full Time;Bridges;Private;90480
New York;Masters Degree;EIT;Full Time;Bridges;Private;98000
Texas;Bachelors Degree;EIT;Full Time;Water Resources;Private;68000
Alabama;Bachelors Degree;PE;Full Time;Land Development;Private;79000
Alabama;Bachelors Degree;PE;Full Time;Land Development;Private;117000
Florida;Bachelors Degree;EIT;Full Time;Transportation;Public;80000
New York;Bachelors Degree;PE;Full Time;Land Development;Private;110000
Michigan;Bachelors Degree;PE;Full Time;Structural;Private;129000
Louisiana;Bachelors Degree;PE;Full Time;Transportation;Private;95000
New York;Bachelors Degree;EIT;Full Time;Construction/Field;Private;104000
Texas;Bachelors Degree;PE;Full Time;Transportation;Private;105000
Texas;Bachelors Degree;None;Full Time;Water Resources;Public;67000
New Mexico;Masters Degree;PE;Full Time;Water Resources;Public;156000
Utah;Bachelors Degree;EIT;Full Time;Power/Electrical;Private;95000
Georgia;Bachelors Degree;PE;Full Time;Land Development;Private;95000
Washington;Bachelors Degree;EIT;Full Time;Water/Wastewater Treatment ;Private;83000
Florida;Bachelors Degree;EIT;Full Time;Transportation;Private;85000
Colorado;Bachelors Degree;PE;Full Time;Land Development;Private;110000
Missouri;Bachelors Degree;PE;Full Time;Structural;Public;92000
Wisconsin;Bachelors Degree;EIT;Full Time;Structural;Private;68000
Alabama;Bachelors Degree;PE;Full Time;Land Development;Private;95000
Oregon;Bachelors Degree;PE;Full Time;Land Development;Public;100000
California;Bachelors Degree;EIT;Full Time;Construction/Field;Private;108000
California;Bachelors Degree;None;Full Time;Land Development;Private;85000
North Carolina;Masters Degree;PE;Full Time;Forensic Engineering ;Private;98000
California;Bachelors Degree;PE;Full Time;Transportation;Private;154000
New York;Bachelors Degree;EIT;Full Time;Structural;Private;78000
Connecticut;Bachelors Degree;EIT;Full Time;Bridges;Public;77000
Minnesota;Bachelors Degree;PE;Full Time;Construction/Field;Private;160000
Hawaii;Masters Degree;PE;Full Time;Structural;Private;250000
New York;Bachelors Degree;EIT;Full Time;Geotechnical;Private;70000
Pennsylvania;Bachelors Degree;PE;Full Time;Transportation;Private;125000
California;Masters Degree;EIT;Full Time;Geotechnical;Private;95000
Massachusetts;Bachelors Degree;PE;Full Time;Solid Waste;Private;100000
Maryland;Bachelors Degree;None;Full Time;Construction/Field;Private;81000
Georgia;Bachelors Degree;None;Full Time;Transportation;Private;73000
New York;Bachelors Degree;EIT;Full Time;Land Development;Private;85000
Delaware;Bachelors Degree;EIT;Full Time;Water Resources;Private;72000
South Carolina;Bachelors Degree;PE;Full Time;Government/Municipal;Public;105000
West Virginia;Bachelors Degree;EIT;Full Time;Water Resources;Private;62400
New Jersey;Bachelors Degree;None;Full Time;Bridges;Private;65000
New York;Masters Degree;EIT;Full Time;Water Resources;Private;116000
Florida;Masters Degree;PE;Full Time;Power/Electrical;Private;103000
Pennsylvania;Bachelors Degree;EIT;Full Time;Environmental;Private;56000
Massachusetts;Masters Degree;EIT;Full Time;Transportation;Private;92000
New York;Bachelors Degree;EIT;Full Time;Structural;Private;130000
Illinois;Masters Degree;PE;Full Time;Transportation;Public;87000
Massachusetts;Bachelors Degree;PE;Full Time;Structural;Private;165000
Wisconsin;Bachelors Degree;EIT;Full Time;Government/Municipal;Private;75000
Massachusetts;Bachelors Degree;PE;Full Time;Environmental;Private;110000
Pennsylvania;Bachelors Degree;EIT;Full Time;Transportation;Private;83000
Virginia;Bachelors Degree;EIT;Full Time;Environmental;Private;72800
Montana;Bachelors Degree;EIT;Full Time;Land Development;Private;67600
Illinois;High School Diploma;None;Full Time;Land Development;Private;76000
Texas;Masters Degree;PE;Full Time;Government/Municipal;Public;128000
Colorado;Bachelors Degree;None;Full Time;Government/Municipal;Private;70837
Michigan;Bachelors Degree;PE;Full Time;Land Development;Private;105000
Minnesota;Bachelors Degree;EIT;Full Time;Transportation;Private;71500
Virginia;Bachelors Degree;PE;Full Time;Water Resources;Private;100000
Arizona;Masters Degree;PE;Full Time;Geotechnical;Private;100000
South Carolina;Bachelors Degree;PE;Full Time;Transportation;Private;106000
Pennsylvania;Bachelors Degree;PE;Full Time;Water Resources;Private;83500
Texas;Bachelors Degree;PE;Full Time;Land Development;Private;83000
Hawaii;Masters Degree;PE;Full Time;Structural;Private;200000
California;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;115000
Florida;Bachelors Degree;EIT;Full Time;Geotechnical;Private;65000
North Carolina;Bachelors Degree;PE;Full Time;Transportation;Private;96000
Iowa;Bachelors Degree;EIT;Full Time;Bridges;Public;0
Texas;Bachelors Degree;PE;Full Time;Transportation;Public;125000
Washington;Bachelors Degree;EIT;Full Time;Land Development;Private;74000
Texas;Bachelors Degree;EIT;Full Time;Transportation;Private;86000
Hawaii;Bachelors Degree;PE;Full Time;Land Development;Private;90000
Virginia;Bachelors Degree;EIT;Full Time;Water Resources;Private;85000
California;Bachelors Degree;PE;Full Time;Land Development;Private;129000
Pennsylvania;Bachelors Degree;None;Full Time;Government/Municipal;Public;59280
Idaho;Bachelors Degree;PE;Full Time;Transportation;Private;92000
Missouri;Masters Degree;PE;Full Time;Transportation;Public;100000
Tennessee;Bachelors Degree;PE;Full Time;Land Development;Private;87000
Kansas;Bachelors Degree;EIT;Full Time;Transportation;Private;69000
Pennsylvania;Bachelors Degree;EIT;Full Time;Water Resources;Private;72000
Pennsylvania;Bachelors Degree;EIT;Full Time;Structural;Private;72000
Michigan;Bachelors Degree;PE;Full Time;Environmental;Private;83480
Virginia;Bachelors Degree;EIT;Full Time;Transportation;Private;84200
Illinois;Bachelors Degree;PE;Full Time;Land Development;Private;98000
Indiana;Bachelors Degree;PE;Full Time;Water Resources;Public;125000
New York;Bachelors Degree;EIT;Full Time;Construction/Field;Private;90000
North Carolina;Bachelors Degree;PE;Full Time;Power/Electrical;Private;125000
Washington;Bachelors Degree;PE;Full Time;Transportation;Public;100000
Washington;Bachelors Degree;PE;Full Time;Transportation;Private;140000
Texas;Bachelors Degree;PE;Full Time;Transportation;Private;100000
Maine;Bachelors Degree;EIT;Full Time;Transportation;Private;85000
Arizona;Masters Degree;PE;Full Time;Water Resources;Private;124000
Minnesota;Bachelors Degree;PE;Full Time;Transportation;Private;101500
Texas;Masters Degree;EIT;Full Time;Water Resources;Private;93000
Florida;Bachelors Degree;EIT;Full Time;Transportation;Private;75000
California;Masters Degree;PE;Full Time;Transportation;Private;233000
Texas;Masters Degree;EIT;Full Time;Water Resources;Private;90000
Kansas;Masters Degree;PE;Full Time;Government/Municipal;Public;111000
California;Masters Degree;PE;Full Time;Structural;Private;79000
Michigan;Bachelors Degree;EIT;Full Time;Government/Municipal;Private;67000
Wisconsin;Bachelors Degree;EIT;Full Time;Bridges;Private;72000
California;Masters Degree;PE;Full Time;Government/Municipal;Public;95900
Missouri;Bachelors Degree;EIT;Full Time;Structural;Private;69000
Georgia;Bachelors Degree;PE;Full Time;Transportation;Public;125000
Virginia;Bachelors Degree;EIT;Full Time;Transportation;Private;78000
California;Bachelors Degree;EIT;Full Time;Construction/Field;Private;210000
Texas;Masters Degree;PE;Full Time;Structural;Private;120000
Illinois;Bachelors Degree;PE;Full Time;Transportation;Private;115000
Colorado;Masters Degree;EIT;Full Time;Water Resources;Private;70000
Washington;Bachelors Degree;EIT;Full Time;Transportation;Private;85000
California;Masters Degree;PE;Full Time;Construction/Field;Private;198000
Utah;Bachelors Degree;PE;Full Time;Government/Municipal;Public;88000
Massachusetts;Masters Degree;EIT;Full Time;Bridges;Private;92500
Minnesota;Bachelors Degree;PE;Full Time;Land Development;Private;185000
Utah;Bachelors Degree;EIT;Full Time;Water Resources;Private;75000
New York;Bachelors Degree;PE;Full Time;Land Development;Private;115000
Kentucky;Masters Degree;EIT;Full Time;Water Resources;Public;77400
Maryland;Bachelors Degree;EIT;Full Time;Land Development;Private;82500
Pennsylvania;Masters Degree;PE;Full Time;Government/Municipal;Public;90893
North Carolina;Bachelors Degree;PE;Full Time;Transportation;Private;165000
Hawaii;Bachelors Degree;None;Full Time;Construction/Field;Private;122000
Florida;Bachelors Degree;PE;Full Time;Transportation;Private;105000
Texas;Bachelors Degree;EIT;Full Time;Utilities;Private;85000
Texas;Bachelors Degree;EIT;Full Time;Transportation;Private;92000
Rhode Island;Bachelors Degree;EIT;Full Time;Water Resources;Private;80000
California;Bachelors Degree;EIT;Full Time;Land Development;Private;82000
Texas;Bachelors Degree;None;Full Time;Transportation;Public;72000
Alabama;Bachelors Degree;None;Full Time;Structural;Public;69680
New Jersey;Masters Degree;PE;Full Time;Land Development;Private;92080
Washington;Bachelors Degree;EIT;Full Time;Site Design;Private;76960
Washington;Bachelors Degree;EIT;Full Time;Transportation;Private;80000
California;Bachelors Degree;EIT;Full Time;Transportation;Private;104375
California;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;99000
Iowa;Masters Degree;EIT;Full Time;Water Resources;Private;80000
Tennessee;Bachelors Degree;EIT;Full Time;Construction/Field;Private;54000
Georgia;Bachelors Degree;PE;Full Time;Transportation;Public;97000
North Carolina;Bachelors Degree;PE;Full Time;Transportation;Private;130000
New Jersey;Bachelors Degree;EIT;Full Time;Construction/Field;Private;91000
Wisconsin;Masters Degree;PE;Full Time;Geotechnical;Private;88000
Massachusetts;Bachelors Degree;EIT;Full Time;Environmental;Private;76000
California;Bachelors Degree;EIT;Full Time;Water Resources;Private;107500
California;Masters Degree;PE;Full Time;Water Resources;Private;140000
Ohio;Bachelors Degree;PE;Full Time;Bridges;Private;128000
California;Masters Degree;PE;Full Time;Water Resources;Private;92000
Georgia;Bachelors Degree;PE;Full Time;Water Resources;Private;86000
Tennessee;Bachelors Degree;EIT;Full Time;Government/Municipal;Private;65000
Illinois;Bachelors Degree;EIT;Full Time;Structural;Private;68000
North Carolina;Bachelors Degree;PE;Full Time;Transportation;Private;180000
Georgia;Masters Degree;PE;Full Time;Transportation;Private;97850
Washington;Masters Degree;PE;Full Time;Transportation;Public;120000
Illinois;Bachelors Degree;PE;Full Time;Water Resources;Private;76000
Pennsylvania;Bachelors Degree;EIT;Full Time;Bridges;Private;78000
Pennsylvania;Bachelors Degree;EIT;Full Time;Bridges;Private;76000
Colorado;Bachelors Degree;PE;Full Time;Structural;Private;85000
New York;Bachelors Degree;EIT;Full Time;Structural;Public;73624
Utah;Bachelors Degree;EIT;Full Time;Land Development;Private;80000
Minnesota;Bachelors Degree;EIT;Full Time;Transportation;Private;71500
California;Bachelors Degree;None;Full Time;Geotechnical;Private;62400
Texas;Masters Degree;EIT;Full Time;Water Resources;Private;85000
Maryland;Bachelors Degree;PE;Full Time;Transportation;Private;95000
Connecticut;Bachelors Degree;PE;Full Time;Construction/Field;Private;156000
District of Columbia;Bachelors Degree;EIT;Full Time;General;Public;85000
Washington;Bachelors Degree;EIT;Full Time;Transportation;Public;82056
Georgia;Bachelors Degree;None;Part Time;Land Development;Private;56300
Texas;Bachelors Degree;EIT;Full Time;Land Development;Private;93000
California;Bachelors Degree;PE;Full Time;Structural;Private;100000
Maryland;Bachelors Degree;PE;Full Time;Bridges;Private;120000
North Carolina;Bachelors Degree;EIT;Full Time;Structural;Private;80000
Illinois;Bachelors Degree;EIT;Full Time;Power/Electrical;Public;79388
Florida;Bachelors Degree;PE;Full Time;Land Development;Private;110000
California;Masters Degree;PE;Full Time;Bridges;Private;164000
New York;Bachelors Degree;EIT;Full Time;Construction/Field;Public;74000
Michigan;Bachelors Degree;EIT;Full Time;Geotechnical;Private;68000
California;Masters Degree;EIT;Full Time;Structural;Private;75000
Texas;Doctorate Degree;PE;Full Time;Forensic;Private;93000
Wisconsin;Bachelors Degree;None;Full Time;Structural;Private;73000
Nevada;Bachelors Degree;EIT;Full Time;Land Development;Private;68000
Hawaii;Bachelors Degree;EIT;Full Time;Construction/Field;Private;90000
Wisconsin;Bachelors Degree;PE;Full Time;Land Development;Private;82000
Texas;Bachelors Degree;PE;Full Time;Transportation;Public;116500
Hawaii;Masters Degree;PE;Full Time;Structural;Private;130000
New York;Bachelors Degree;EIT;Full Time;Structural;Private;91000
California;Bachelors Degree;EIT;Full Time;Power/Electrical;Private;74200
Georgia;Bachelors Degree;PE;Full Time;Transportation;Public;88192
Kansas;Bachelors Degree;EIT;Full Time;Transportation;Private;80000
Virginia;Bachelors Degree;PE;Full Time;Environmental;Private;87000
Florida;Bachelors Degree;PE;Full Time;Transportation;Private;115200
Alabama;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;83000
New York;Masters Degree;None;Full Time;Structural;Private;91520
Colorado;Bachelors Degree;EIT;Full Time;Construction/Field;Private;92000
North Carolina;Bachelors Degree;EIT;Full Time;Transportation;Private;73010
Illinois;Bachelors Degree;PE;Full Time;Transportation;Private;113000
Tennessee;Bachelors Degree;None;Full Time;Land Development;Private;80000
California;Bachelors Degree;PE;Full Time;Transportation;Public;174000
Illinois;Bachelors Degree;EIT;Full Time;Site;Private;82000
Minnesota;Masters Degree;PE;Full Time;Geotechnical;Private;93000
North Carolina;Masters Degree;EIT;Full Time;Water Resources;Private;78000
Idaho;Masters Degree;EIT;Full Time;Power/Electrical;Private;89000
Illinois;Bachelors Degree;None;Full Time;Land Development;Private;75000
Pennsylvania;Bachelors Degree;EIT;Full Time;Geotechnical;Private;74000
Massachusetts;Masters Degree;EIT;Full Time;Structural;Public;105248
Washington;Bachelors Degree;EIT;Full Time;Land Development;Private;70000
California;Bachelors Degree;EIT;Full Time;Transportation;Private;82500
Florida;Masters Degree;EIT;Full Time;Transportation;Private;82000
Texas;Bachelors Degree;EIT;Full Time;Land Development;Private;93000
Florida;Bachelors Degree;EIT;Full Time;Structural;Public;75000
Montana;Bachelors Degree;EIT;Full Time;Structural;Private;63000
California;Bachelors Degree;EIT;Full Time;Bridges;Public;75000
New York;Masters Degree;PE;Full Time;Bridges;Private;118000
Massachusetts;Bachelors Degree;EIT;Full Time;Construction/Field;Private;84000
Virginia;Bachelors Degree;PE;Full Time;Land Development;Public;130000
Arizona;Bachelors Degree;EIT;Full Time;Roadway;Private;75000
Arizona;Masters Degree;None;Full Time;Environmental;Private;73000
Massachusetts;Bachelors Degree;PE;Full Time;Land Development;Private;88000
California;Masters Degree;PE;Full Time;Geotechnical;Private;110000
Colorado;Bachelors Degree;PE;Full Time;Transportation;Private;96000
Tennessee;Bachelors Degree;EIT;Full Time;Structural;Private;77000
Michigan;Bachelors Degree;EIT;Full Time;Land Development;Private;60500
Florida;Masters Degree;EIT;Full Time;Power/Electrical;Private;72000
Texas;Bachelors Degree;None;Full Time;Transportation;Public;70000
California;Masters Degree;EIT;Full Time;Bridges;Public;95000
California;Masters Degree;EIT;Full Time;Government/Municipal;Public;127000
Colorado;Bachelors Degree;PE;Full Time;Government/Municipal;Private;92000
California;Masters Degree;EIT;Full Time;Bridges;Private;69000
New Mexico;Masters Degree;EIT;Full Time;Water Resources;Public;77000
California;Masters Degree;EIT;Full Time;Water Resources;Private;84600
Utah;Masters Degree;PE;Full Time;Structural;Private;85500
New York;Bachelors Degree;EIT;Full Time;Government/Municipal;Private;76000
Washington;Bachelors Degree;PE;Full Time;Transportation;Private;143000
Virginia;Masters Degree;PE;Full Time;Water Resources;Private;88000
Utah;Masters Degree;PE;Full Time;Government/Municipal;Public;151000
Texas;Bachelors Degree;EIT;Full Time;Water Resources;Private;89000
California;Bachelors Degree;EIT;Full Time;Transportation;Public;95000
Virginia;Bachelors Degree;EIT;Full Time;Water Resources;Private;6500
Pennsylvania;Bachelors Degree;None;Full Time;Structural;Private;60000
Ohio;Bachelors Degree;EIT;Full Time;Transportation;Private;70720
Illinois;Bachelors Degree;EIT;Full Time;Government/Municipal;Private;72000
Missouri;Bachelors Degree;EIT;Full Time;Consulting (In order of Amount of work): Land Development, Water Resources, Structural, Transportation, Power/Electrical, Misc.;Private;70000
Florida;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;67870.4
Ohio;Bachelors Degree;PE;Full Time;Water Resources;Private;89900
Louisiana;Bachelors Degree;EIT;Full Time;Government/Municipal;Public;63734
Minnesota;Bachelors Degree;PE;Full Time;Power/Electrical;Private;124000
New Jersey;Bachelors Degree;None;Full Time;Land Development;Private;96000
Connecticut;Masters Degree;PE;Full Time;Bridges;Private;104500
Georgia;Bachelors Degree;EIT;Full Time;Transportation;Private;85000
North Carolina;Associates degree;None;Full Time;Utilities;Private;76000
Texas;Bachelors Degree;PE;Full Time;Transportation;Private;124000
North Carolina;Bachelors Degree;PE;Full Time;Structural;Private;80000
Texas;Masters Degree;None;Full Time;Geotechnical;Private;75000
Louisiana;Bachelors Degree;EIT;Full Time;Land Development;Private;72000
Texas;Masters Degree;None;Full Time;Construction/Field;Private;81000
Wyoming;Masters Degree;PE;Full Time;Water Resources;Private;115000
California;Masters Degree;EIT;Full Time;Water Resources;Private;91000
Illinois;Bachelors Degree;None;Full Time;Transportation;Private;65000
Texas;Bachelors Degree;EIT;Full Time;Government/Municipal;Private;66000
Tennessee;Bachelors Degree;EIT;Full Time;Construction/Field;Public;83000
Texas;Bachelors Degree;EIT;Full Time;Construction/Field;Private;90000
Oregon;Bachelors Degree;EIT;Full Time;Land Development;Private;66560
New York;Masters Degree;PE;Full Time;Structural;Private;95000
Illinois;Bachelors Degree;PE;Full Time;Water Resources;Private;82912
Idaho;Bachelors Degree;PE;Full Time;Water Resources;Private;86700
Texas;Bachelors Degree;EIT;Full Time;Structural;Private;96600
Missouri;Bachelors Degree;PE;Full Time;Structural;Private;100000
Connecticut;Bachelors Degree;EIT;Full Time;Structural;Private;110000
Alabama;Masters Degree;PE;Full Time;Structural;Private;74000
Texas;Masters Degree;EIT;Full Time;Structural;Private;80000
Virginia;Bachelors Degree;EIT;Full Time;Structural;Private;78000
Wisconsin;Bachelors Degree;PE;Full Time;Structural;Private;99000
California;Bachelors Degree;EIT;Full Time;Transportation;Public;88385
Utah;Bachelors Degree;None;Full Time;Construction/Field;Private;147000
California;Masters Degree;EIT;Full Time;Geotechnical;Private;87000
Florida;Bachelors Degree;None;Full Time;Land Development;Private;70000
Kentucky;Bachelors Degree;EIT;Full Time;Transportation;Private;87000
North Carolina;Bachelors Degree;EIT;Full Time;Water Resources;Public;60000
Colorado;Bachelors Degree;EIT;Full Time;Water Resources;Private;79000
Tennessee;Bachelors Degree;PE;Full Time;Structural;Private;105000
California;Bachelors Degree;PE;Full Time;Geotechnical;Private;103700
Illinois;Bachelors Degree;PE;Full Time;Environmental;Private;106000
Maine;Bachelors Degree;PE;Full Time;Bridges;Public;90000
Texas;Masters Degree;EIT;Full Time;Transportation;Private;87000
Washington;Masters Degree;PE;Full Time;Dam safety;Public;127000
Pennsylvania;Bachelors Degree;PE;Full Time;Land Development;Private;93500
California;Bachelors Degree;EIT;Full Time;Construction and Material Testing under Transportation;Private;165000
Wisconsin;Bachelors Degree;PE;Full Time;Bridges;Private;104500
Maine;Bachelors Degree;PE;Full Time;Land Development;Private;120000
California;Bachelors Degree;EIT;Full Time;Government/Municipal;Private;86000
Oregon;Masters Degree;EIT;Full Time;Geotechnical;Private;86000
Washington;Bachelors Degree;EIT;Full Time;Water Resources;Private;96000
Oregon;Bachelors Degree;EIT;Full Time;Land Development;Private;72000
Washington;Bachelors Degree;EIT;Full Time;Transportation;Private;85000
Arizona;Bachelors Degree;PE;Full Time;Transportation;Private;95000
Kansas;Bachelors Degree;PE;Full Time;Environmental;Public;101909
Illinois;Masters Degree;PE;Full Time;Structural;Private;108000
Missouri;Masters Degree;PE;Full Time;Power/Electrical;Private;105000
Florida;Masters Degree;EIT;Full Time;Coastal ;Private;78000
Massachusetts;Bachelors Degree;EIT;Full Time;Structural;Private;77140
Texas;Bachelors Degree;PE;Full Time;Water Resources;Public;100000
Illinois;Bachelors Degree;PE;Full Time;Energy/Gas;Private;108000
Florida;Bachelors Degree;EIT;Full Time;Land Development;Private;70000
