airline,timing,Los_Angeles,Phoenix,San_Diego,San_Francisco,Seattle
Alaska,on_time,497,221,212,503,1841
,delayed,62,12,20,102,305
NULL,NULL,NULL,NULL,NULL,NULL,NULL
AmWest,on_time,694,4840,383,320,201
,delayed,117,415,65,129,61
