RespondentInitials,Deadpool3,EverythingEverywhere,Barbie,Oppenheimer,IntotheSpiderverse,PussInBoots2
PH,5,4,4,4,5,5
MM,4,5,0,4,4,4
TH,4,4,3,3,5,5
KK,0,0,4,4,4,0
RD,0,5,3,5,3,0
